"Total value of dwelling stock, Australia"
,"Total value of dwelling stock"
"Mar-19","6,656"
"Jun-19","6,720.5"
"Sep-19","6,951.4"
"Dec-19","7,170.8"
"Mar-20","7,278.1"
"Jun-20","7,251.1"
"Sep-20","7,469.6"
"Dec-20","7,848.9"
"Mar-21","8,302.3"
"Jun-21","8,726"
"Sep-21","9,325.8"
"Dec-21","9,914.2"
"Mar-22","10,094.1"
"Jun-22","10,028.7"
"Sep-22","9,730"
"Dec-22","9,773.3"
"Mar-23","9,803.4"
"Jun-23","10,101.6"
"Sep-23","10,252.7"
"Dec-23","10,511.4"
"Mar-24","10,720.7"

"Source: Australian Bureau of Statistics, Total Value of Dwellings March Quarter 2024"
